Doc,Word,Baseline,System
p02/d2551,times,0,0
p02/d2574,mistook,1,1
p02/d2574,brother,1,0
p02/d2581,rained,1,1
p02/d2581,times,0,0
p02/d2581,trip,1,0
p02/d2592,afraid,0,0
p02/d2592,misunderstood,0,0
p02/d2631,He,0,0
p02/d2631,lost,0,0
p02/d2631,favorite,0,0
p02/d2631,sweatshirt,1,0
p02/d2639,Tom,0,0
p02/d2639,Mary,0,0
p02/d2639,played,1,0
p02/d2639,chess,0,0
p02/d2654,shy,0,0
p02/d2659,Who,0,0
p02/d2659,talked,0,1
p02/d2673,Tom,0,0
p02/d2673,gave,0,0
p02/d2673,Mary,0,0
p02/d2673,money,1,0
p02/d2690,Tom,0,0
p02/d2690,grilling,0,1
p02/d2690,meat,1,0
p02/d2723,abducted,0,0
p02/d2723,extraterrestrials,0,0
p02/d2730,important,1,0
p02/d2758,handbag,0,0
p02/d2758,is,0,0
p02/d2775,team,1,0
p02/d2775,beat,0,1
p02/d2775,Lions,0,0
p02/d2787,Who,0,0
p02/d2787,broken,0,0
p02/d2787,fishbowl,0,0
p02/d2790,watch,1,0
p02/d2790,minutes,0,0
p02/d2790,slow,0,0
p02/d2799,has,0,0
p02/d2799,brothers,1,0
p02/d2843,Tom,0,0
p02/d2843,took,0,0
p02/d2843,handkerchief,1,0
p02/d2843,blew,0,0
p02/d2843,nose,1,0
p02/d2846,suffer,0,0
p02/d2846,asthma,1,1
p02/d2852,tines,1,0
p02/d2852,fork,1,0
p02/d2852,bent,0,0
p02/d2868,desk,1,1
p02/d2868,is,0,0
p02/d2868,father,1,0
p02/d2886,bothering,0,0
p02/d2889,hungry,1,1
p02/d2896,understand,1,0
p02/d2916,Ken,0,0
p02/d2916,dog,1,0
p02/d2916,white,0,0
p02/d2924,time,0,0
p02/d2924,flight,0,0
p02/d2924,arrive,1,1
p02/d2924,Tokyo,0,0
p02/d2943,hate,0,1
p02/d2943,hat,1,0
p02/d2952,Give,0,0
p02/d2952,book,0,0
p02/d2952,wants,0,0
p02/d2952,it,0,0
p02/d2967,like,0,1
p02/d2984,father,1,0
p02/d2984,years,0,0
p02/d2984,younger,0,0
p02/d2984,mother,1,0
p02/d3004,Tom,0,0
p02/d3004,misbehaving,1,1
p02/d3017,famous,0,0
p02/d3017,conductor,1,1
p02/d3017,lives,0,0
p02/d3054,caught,0,0
p02/d3054,fish,1,0
p02/d3068,studying,0,0
p02/d3068,French,1,0
p02/d3068,years,0,0
p02/d3082,thief,1,1
p02/d3082,told,0,0
p02/d3082,police,1,0
p02/d3082,he,0,0
p02/d3082,stolen,1,1
p02/d3090,plane,0,0
p02/d3090,took,0,0
p02/d3114,impressed,0,0
p02/d3115,Hans,0,0
p02/d3115,pleased,0,0
p02/d3115,Punch,0,0
p02/d3145,wearing,0,0
p02/d3147,ATM,0,0
p02/d3148,He,0,0
p02/d3148,designed,0,0
p02/d3148,car,1,1
p02/d3151,know,0,0
p02/d3151,are,0,0
p02/d3182,Tom,0,0
p02/d3182,plays,0,0
p02/d3182,drums,1,0
p02/d3182,organ,0,1
p02/d3222,Tom,0,0
p02/d3222,angry,1,1
p02/d3222,he,0,0
p02/d3273,Tom,0,0
p02/d3273,Mary,0,0
p02/d3273,born,0,0
p02/d3273,Boston,0,0
p02/d3279,died,1,1
p02/d3291,girl,1,0
p02/d3291,bought,1,1
p02/d3291,milk,1,0
p02/d3291,market,0,0
p02/d3292,wearing,0,1
p02/d3292,shirt,1,0
p02/d3293,man,1,0
p02/d3293,chased,0,0
p02/d3293,robber,1,0
p02/d3293,street,1,0
p02/d3309,Tom,0,0
p02/d3309,knows,0,0
p02/d3309,work,0,0
p02/d3333,busy,0,0
p02/d3335,painting,1,0
p02/d3335,Rembrandt,0,0
p02/d3335,is,1,0
p02/d3335,masterpiece,1,0
p02/d3367,Tom,0,0
p02/d3367,very,0,0
p02/d3367,untalented,1,1
p02/d3370,saw,0,0
p02/d3370,years,0,0
p02/d3405,wonder,0,0
p02/d3405,he,0,0
p02/d3405,likes,0,0
p02/d3410,head,1,0
p02/d3410,hurts,0,0
p02/d3417,Mary,0,0
p02/d3417,oiled,1,1
p02/d3417,bicycle,1,0
p02/d3434,hunter,1,1
p02/d3434,shoots,0,0
p02/d3434,stags,0,0
p02/d3434,hares,1,0
p02/d3448,crowd,1,0
p02/d3448,applauded,1,0
p02/d3454,Tom,0,0
p02/d3454,waiting,0,0
p02/d3454,Mary,0,0
p02/d3458,Tom,0,0
p02/d3458,acted,0,0
p02/d3458,baby,1,1
p02/d3463,He,0,0
p02/d3463,need,0,0
p02/d3463,money,1,0
p02/d3468,showed,0,0
p02/d3468,album,0,1
p02/d3478,He,0,0
p02/d3478,stabbed,0,0
p02/d3478,back,1,0
p02/d3483,ride,0,0
p02/d3483,horse,1,0
p02/d3517,car,1,0
p02/d3517,crashed,0,0
p02/d3517,driver,1,0
p02/d3517,careless,1,0
p03/d0050,woman,1,0
p03/d0050,playing,0,0
p03/d0178,too,0,0
p03/d0178,drunk,0,0
p03/d0178,do,0,0
p03/d0236,traded,0,0
p03/d0236,old,0,0
p03/d0236,car,1,0
p03/d0236,new,0,0
p03/d0236,one,0,0
p03/d0715,Dutch,0,0
p03/d0715,photos,0,0
p03/d0715,disappeared,1,0
p03/d0716,died,1,0
p03/d0760,located,0,0
p03/d0760,Canada,0,0
p03/d0761,Pretoria,0,0
p03/d0761,located,0,0
p03/d0766,invented,1,1
p03/d0766,dynamite,1,0
p03/d0780,are,0,0
p03/d0780,stars,1,0
p03/d0780,universe,1,1
p03/d0781,ashamed,1,0
p03/d0787,Tom,0,0
p03/d0787,taller,1,1
p03/d0787,mother,1,0
p03/d0805,use,0,1
p03/d0805,pen,1,0
p03/d0815,roof,1,0
p03/d0815,house,1,0
p03/d0815,red,0,0
p03/d0821,bicycle,1,1
p03/d0821,repaired,1,1
p03/d0822,showered,0,0
p03/d0822,breakfast,1,0
p03/d0823,know,0,0
p03/d0823,none,0,0
p03/d0837,He,0,0
p03/d0837,paid,1,0
p03/d0837,yen,0,0
p03/d0837,book,1,0
p03/d0843,He,0,0
p03/d0843,like,0,0
p03/d0843,cats,1,0
p03/d0868,snake,1,0
p03/d0868,venomous,0,0
p03/d0872,Mr.,0,0
p03/d0872,Smith,0,0
p03/d0872,came,0,0
p03/d0873,butt,0,0
p03/d0873,hurts,0,0
p03/d0877,wearing,0,1
p03/d0877,sunglasses,1,0
p03/d0880,He,0,0
p03/d0880,studying,0,0
p03/d0880,Chinese,1,0
p03/d0884,He,0,0
p03/d0884,brewed,1,1
p03/d0884,beer,1,1
p03/d0900,suffers,0,0
p03/d0900,contagious,0,0
p03/d0900,disease,1,1
p03/d0903,born,0,0
p03/d0903,Russia,0,0
p03/d0922,park,0,0
p03/d0922,located,0,0
p03/d0922,center,1,0
p03/d0922,city,1,1
p03/d0924,created,0,0
p03/d0925,Tom,0,0
p03/d0925,spilled,1,0
p03/d0925,milk,1,0
p03/d0929,Mary,0,0
p03/d0929,impressed,0,0
p03/d0929,saw,0,0
p03/d0936,murdered,1,0
p03/d0946,are,0,0
p03/d0946,French,0,0
p03/d0946,tourists,1,0
p03/d0955,very,0,1
p03/d0955,sexy,1,0
p03/d1389,tall,0,0
p03/d1397,die,0,0
p03/d1411,Tom,0,0
p03/d1411,drive,0,0
p03/d1439,name,1,1
p03/d1439,is,0,0
p03/d1471,go,0,0
p03/d1471,market,0,0
p03/d1541,runs,0,1
p03/d1541,petrol,0,0
p03/d1550,Tom,0,0
p03/d1550,swam,1,0
p03/d1550,river,1,1
p03/d1592,Someone,1,0
p03/d1592,stole,0,1
p03/d1592,Tom,0,0
p03/d1592,car,1,1
p03/d1597,mile,1,0
p03/d1597,equal,0,0
p03/d1597,meters,1,1
p03/d1600,speech,0,0
p03/d1600,bored,1,0
p03/d1610,encyclopedia,1,1
p03/d1610,belongs,1,1
p03/d1610,wife,1,1
p03/d1626,express,0,0
p03/d1626,train,1,0
p03/d1626,stop,0,0
p03/d1650,sure,0,0
p03/d1650,he,0,0
p03/d1650,succeed,1,0
p03/d1666,Tom,0,0
p03/d1666,playing,0,0
p03/d1666,toys,0,0
p03/d1674,Tom,0,0
p03/d1674,removed,1,0
p03/d1674,splinter,1,0
p03/d1674,Mary,0,0
p03/d1674,finger,1,0
p03/d1740,He,0,0
p03/d1740,touched,1,0
p03/d1740,shoulder,1,0
p03/d1763,accident,1,0
p03/d1763,took,0,0
p03/d1763,highway,1,1
p03/d1775,want,0,0
p03/d1775,English,0,0
p03/d1775,muffin,1,1
p03/d1811,inherited,1,0
p03/d1811,estate,0,1
p03/d1813,Tom,0,0
p03/d1813,ran,1,0
p03/d1813,house,1,0
p03/d1814,He,0,0
p03/d1814,hammered,1,0
p03/d1814,nails,0,0
p03/d1814,plank,0,0
p03/d1816,love,0,0
p03/d1820,Helen,0,0
p03/d1820,weighs,1,0
p03/d1820,kilograms,1,0
p03/d1830,medicine,0,0
p03/d1830,cured,0,0
p03/d1830,illness,1,0
p03/d1832,airplane,1,0
p03/d1832,flies,0,0
p03/d1832,speed,1,0
p03/d1832,kilometers,1,0
p03/d1832,hour,1,0
p03/d1867,cat,1,0
p03/d1867,meowing,1,1
p03/d1868,is,0,0
p03/d1868,smallest,1,0
p03/d1868,Italian,0,0
p03/d1868,city,1,1
p03/d1869,convention,1,0
p03/d1869,voted,1,0
p03/d1870,siren,0,1
p03/d1870,blowing,0,0
p03/d1876,brought,1,1
p03/d1881,allergic,0,0
p03/d1881,gluten,1,1
p03/d1890,Tom,0,0
p03/d1890,Mary,0,0
p03/d1893,like,0,0
p03/d1893,puzzles,0,0
p03/d1926,sewing,0,0
p03/d1926,shirt,1,0
p03/d1965,invited,0,0
p03/d1965,neighbors,1,0
p03/d1965,dinner,1,1
p03/d1985,guy,1,0
p03/d1985,is,1,0
p03/d1985,bully,1,0
p03/d2002,He,0,0
p03/d2002,hammered,0,0
p03/d2003,released,0,0
p03/d2003,new,1,1
p03/d2003,album,1,0
p03/d2024,selling,0,0
p03/d2026,rain,0,0
p03/d2026,south,0,0
p03/d2026,England,0,0
p03/d2052,Tom,0,0
p03/d2052,hates,0,0
p03/d2052,dancing,0,1
p03/d2053,Japan,0,0
p03/d2053,sending,0,0
p03/d2053,athletes,1,0
p03/d2053,Olympics,0,0
p03/d2054,kind,0,0
p03/d2054,camera,1,0
p03/d2054,have,0,0
p03/d2057,Hug,0,0
p03/d2057,Tom,0,0
p03/d2059,years,0,1
p03/d2059,old,0,0
p03/d2065,met,0,0
p03/d2065,years,0,0
p03/d2078,He,0,0
p03/d2078,denies,0,0
p03/d2078,nothing,0,0
p03/d2082,boy,0,0
p03/d2082,entered,1,0
p03/d2085,American,0,0
p03/d2085,boy,0,0
p03/d2085,spoke,0,0
p03/d2085,broken,0,0
p03/d2085,Japanese,0,0
p03/d2090,want,0,0
p03/d2090,climb,0,0
p03/d2091,Tom,0,0
p03/d2091,lied,0,0
p03/d2095,like,0,0
p03/d2095,fresh,1,0
p03/d2095,air,1,0
p03/d2101,lake,1,0
p03/d2101,very,0,0
p03/d2101,deep,0,0
p03/d2184,tigers,0,0
p03/d2184,escaped,1,0
p03/d2184,zoo,0,0
p03/d2235,wasting,0,0
p03/d2235,water,0,0
p03/d2253,wolf,1,0
p03/d2253,howling,0,0
p03/d2277,tortured,0,0
p03/d2280,looked,0,1
p03/d2280,ravishing,0,0
p03/d2285,cost,0,0
p03/d2290,forgave,1,1
p03/d2294,eating,0,1
p03/d2294,cheese,1,0
p03/d2307,Tom,0,0
p03/d2307,admitted,1,0
p03/d2307,he,0,0
p03/d2307,afraid,1,0
p03/d2318,brave,0,0
p03/d2318,captain,0,0
p03/d2318,saved,0,0
p03/d2318,ship,1,0
p03/d2330,He,0,0
p03/d2330,up,0,0
p03/d2330,about,0,0
p03/d2363,Tom,0,0
p03/d2363,flirted,0,0
p03/d2363,waitress,1,0
p03/d2373,ridiculous,0,0
p03/d2373,opinion,1,0
p03/d2373,is,1,0
p03/d2374,Tom,0,0
p03/d2374,suffering,0,1
p03/d2374,cancer,1,0
p03/d2382,love,0,0
p03/d2382,ocean,1,0
p03/d2390,work,1,0
p03/d2390,easy,1,1
p03/d2393,pain,1,1
p03/d2393,wear,0,0
p03/d2401,It,0,0
p03/d2405,Tom,0,0
p03/d2405,put,0,0
p03/d2405,wallet,1,1
p03/d2405,table,0,0
p03/d2417,Tom,0,0
p03/d2417,yawning,0,0
p03/d2418,tired,0,0
p03/d2428,came,0,0
p03/d2428,Tokyo,0,0
p03/d2436,He,0,0
p03/d2436,hates,0,0
p03/d2436,Halloween,0,0
p03/d2453,All,0,0
p03/d2453,town,1,0
p03/d2453,destroyed,1,0
p03/d2453,fire,1,0
p03/d2477,beautiful,1,1
p03/d2477,flower,1,1
p03/d2481,Tom,0,0
p03/d2481,happy,1,0
p03/d2483,want,0,0
p03/d2483,eat,1,0
p03/d2494,married,0,0
p03/d2510,living,0,0
p03/d2510,village,0,1
p03/d2510,India,0,0
p03/d2544,wrist,1,0
p03/d2544,hurts,0,0
p03/d2547,It,0,0
p03/d2547,real,0,0
p03/d2547,money,1,0
p03/d2553,wash,0,0
p03/d2553,dishes,1,0
p03/d2554,sang,0,0
p03/d2557,treaty,1,1
p03/d2557,signed,0,0
p03/d2584,amusing,0,0
p03/d2626,chairman,0,0
p03/d2626,resigned,0,0
p03/d2627,Tom,0,0
p03/d2627,Mary,0,0
p03/d2627,crying,0,0
p03/d2642,Tom,0,0
p03/d2642,tall,0,0
p03/d2650,car,1,0
p03/d2650,made,0,0
p03/d2650,Japan,0,0
p03/d2656,book,0,0
p03/d2656,is,0,0
p03/d2659,laid,0,0
p03/d2659,magazine,0,0
p03/d2659,table,0,0
p03/d2661,fixed,0,0
p03/d2661,quick,0,0
p03/d2661,meal,1,0
p03/d2676,Mary,0,0
p03/d2676,loves,0,0
p03/d2676,pony,0,0
p03/d2679,aiming,1,0
p03/d2679,duck,1,0
p03/d2704,He,0,0
p03/d2704,teaches,0,1
p03/d2704,English,1,0
p03/d2705,correct,0,0
p03/d2719,paints,0,0
p03/d2719,nails,1,0
p03/d2719,red,0,0
p03/d2742,homes,0,0
p03/d2742,destroyed,1,0
p03/d2755,is,0,0
p03/d2755,house,1,0
p03/d2755,he,0,0
p03/d2755,born,0,0
p03/d2758,boy,0,0
p03/d2758,bowed,0,0
p03/d2764,burst,0,0
p03/d2769,very,0,0
p03/d2769,handy,0,0
p03/d2769,saw,0,0
p03/d2785,displeased,1,1
p03/d2790,patted,0,0
p03/d2790,son,1,1
p03/d2790,shoulder,1,0
p03/d2800,ashamed,1,1
p03/d2806,had,0,0
p03/d2806,nosebleed,1,1
p03/d2811,is,0,0
p03/d2811,mistake,0,0
p03/d2811,sentence,1,1
p03/d2823,Jack,0,0
p03/d2823,is,0,1
p03/d2823,tallest,1,0
p03/d2823,boy,0,0
p03/d2823,class,0,0
p03/d2829,want,0,0
p03/d2896,little,0,0
p03/d2896,girl,1,0
p03/d2896,sucking,0,0
p03/d2896,finger,1,0
p03/d2919,He,0,0
p03/d2919,chops,0,1
p03/d2919,wood,1,0
p03/d2919,day,1,0
p03/d2920,love,0,0
p03/d2920,lesbian,1,1
p03/d2977,CD,0,0
p03/d2977,costs,0,0
p03/d2977,dollars,1,0
p03/d3002,Tom,0,0
p03/d3002,is,1,0
p03/d3002,bad,0,0
p03/d3002,coach,1,0
p03/d3034,climbing,0,0
p03/d3041,cheese,1,0
p03/d3041,has,0,0
p03/d3041,sharp,0,0
p03/d3041,taste,1,0
p03/d3047,He,0,0
p03/d3047,was,0,0
p03/d3047,rugby,1,1
p03/d3047,player,1,0
p03/d3063,He,0,0
p03/d3063,wrote,1,0
p03/d3063,stories,0,0
p03/d3085,Tom,0,0
p03/d3085,braided,0,0
p03/d3085,beard,1,1
p03/d3089,dagger,1,0
p03/d3089,penetrated,1,0
p03/d3089,heart,0,0
p03/d3107,children,1,1
p03/d3107,playing,0,0
p03/d3107,sand,1,0
p03/d3115,teacher,1,0
p03/d3115,joked,1,1
p03/d3115,years,0,0
p03/d3115,old,0,1
p03/d3122,talking,0,0
p03/d3124,brother,1,0
p03/d3124,taller,1,1
p03/d3142,He,0,0
p03/d3142,shot,0,0
p03/d3142,arrow,0,1
p03/d3142,deer,1,0
p03/d3144,clouds,0,0
p03/d3144,hang,0,0
p03/d3144,sky,1,0
p03/d3146,think,0,0
p03/d3146,Tom,0,0
p03/d3146,persuasive,1,1
p03/d3150,Tom,0,0
p03/d3150,late,1,0
p03/d3167,never,0,0
p03/d3167,saw,0,0
p03/d3199,told,0,0
p03/d3199,lie,1,0
p03/d3218,is,0,0
p03/d3218,umbrella,1,0
p03/d3238,punched,1,1
p03/d3238,face,1,0
p03/d3273,He,0,0
p03/d3273,sitting,0,0
p03/d3273,bench,1,0
p03/d3283,realistic,1,0
p03/d3285,need,0,0
p03/d3285,money,1,1
p03/d3285,lend,0,0
p03/d3285,some,0,0
p03/d3321,child,1,0
p03/d3321,bowed,0,0
p03/d3321,teacher,1,1
p03/d3328,He,0,0
p03/d3328,attempted,0,0
p03/d3328,swim,0,0
p03/d3328,river,1,0
p03/d3349,left,0,0
p03/d3349,book,0,0
p03/d3349,car,1,1
p03/d3367,Tom,0,0
p03/d3367,grabbed,0,1
p03/d3367,Mary,0,0
p03/d3367,hair,1,1
p03/d3386,believed,1,1
p03/d3386,object,1,0
p03/d3386,was,0,0
p03/d3386,UFO,0,0
p03/d3427,followed,1,0
p03/d3427,scent,0,0
p03/d3427,fox,1,0
p03/d3436,Tom,0,0
p03/d3436,stood,0,0
p03/d3442,Tom,0,0
p03/d3442,allergic,0,0
p03/d3443,hotel,1,0
p03/d3443,burned,0,0
p03/d3456,owe,0,1
p03/d3456,beer,1,0
p03/d3457,watch,1,0
p03/d3457,minutes,0,1
p03/d3457,slow,0,0
p03/d3459,feast,0,0
p03/d3479,think,0,0
p03/d3479,Mary,0,0
p03/d3479,too,0,0
p03/d3479,fat,0,0
p03/d3479,be,0,0
p03/d3479,cheerleader,0,1
p03/d3490,has,0,0
p03/d3490,dog,1,0
p03/d3499,Tom,0,0
p03/d3499,found,0,1
p03/d3499,interesting,0,0
p03/d3527,Tom,0,0
p03/d3527,took,0,0
p03/d3527,bus,1,0
p03/d3527,school,0,0
p03/d3539,entered,1,0
p03/d3539,jungle,0,0
p03/d3550,prefer,1,0
p03/d3550,silver,1,0
p03/d3550,rings,0,0
p03/d3550,gold,0,0
p03/d3550,ones,0,0
p03/d3552,It,0,0
p03/d3552,scary,0,0
p04/d0064,remained,0,0
p04/d0064,largest,1,1
p04/d0064,party,1,0
p04/d0064,winning,0,0
p04/d0064,seats,0,0
p04/d0084,He,0,0
p04/d0084,acquainted,0,0
p04/d0084,wife,1,1
p04/d0761,spends,0,0
p04/d0778,Eat,1,1
p04/d0778,whatever,0,0
p04/d0778,like,0,0
p04/d0787,Tom,0,0
p04/d0787,is,0,0
p04/d0787,friend,1,0
p04/d0821,bicycle,1,0
p04/d0821,repaired,1,0
p04/d0830,Nobody,0,0
p04/d0830,solve,1,0
p04/d0830,problem,0,1
p04/d0834,He,0,0
p04/d0834,been,0,0
p04/d0834,Japan,0,0
p04/d0834,years,0,0
p04/d0837,He,0,0
p04/d0837,playing,0,0
p04/d0837,golf,1,0
p04/d0843,He,0,0
p04/d0843,old,0,0
p04/d0851,father,1,0
p04/d0851,painted,0,0
p04/d0851,mailbox,1,1
p04/d0851,red,0,0
p04/d0863,are,0,0
p04/d0863,pants,0,0
