Token,Labels gold,Labels baseline,Matches
hungry,hungry.a.01,hungry.a.01,1
right,O,O,1
now,O,O,1
was,O,O,1
risky,risky.a.01,hazardous.s.01,0
dog,dog.n.01,dog.n.01,1
is,O,O,1
sensitive,sensitive.a.03,sensitive.a.01,0
to,O,O,1
smell,smell.n.01,smell.v.01,0
farm,farm.n.01,farm.n.01,1
belongs,belong.v.01,belong.v.01,1
to,O,O,1
family,family.n.04,family.n.04,1
're,O,O,1
winning,win.v.01,win.v.01,1
checked,check.v.01,check_in.v.01,0
twice,O,O,1
bag,bag.n.01,bag.n.01,1
is,O,O,1
very,very.r.01,very.r.01,1
heavy,heavy.a.01,heavy.a.01,1
As~soon~as,O,O,1
sat,sit_down.v.01,sit.v.01,0
down,O,O,1
picked,pick_up.v.02,pick.v.02,0
up,O,O,1
telephone,telephone.n.01,telephone.n.01,1
left,leave.v.02,leave.v.01,0
cat,cat.n.01,cat.n.01,1
outside,O,outside.n.01,0
house,house.n.01,house.n.01,1
is,be.v.01,O,0
very,very.r.01,very.r.01,1
beautiful,beautiful.a.01,beautiful.a.01,1
girl,girl.n.01,girl.n.01,1
Someone,person.n.01,person.n.01,1
stole,steal.v.01,steal.v.01,1
driving~licence,driving_licence.n.01,O,0
terrorists,terrorist.n.01,terrorist.n.01,1
have,O,O,1
failed,fail.v.02,fail.v.01,0
ordered,order.v.02,order.v.02,1
book,book.n.02,book.n.02,1
from,O,O,1
plastic,plastic.n.01,plastic.n.01,1
chair,chair.n.01,chair.n.01,1
is,O,O,1
cheap,cheap.a.01,cheap.a.03,0
teeth,tooth.n.01,tooth.n.01,1
were,O,O,1
white,white.a.01,white.a.01,1
made,make.v.39,make.v.06,0
cookies,cookie.n.01,cookie.n.01,1
was,O,O,1
born,bear.v.02,bear.v.02,1
on,O,O,1
love,love.v.01,love.v.01,1
comic~books,comic_book.n.01,comic_book.n.01,1
has,O,O,1
hit,hit.v.08,hit.v.03,0
jackpot,jackpot.n.01,pot.n.06,0
once~again,O,O,1
kind,entity.n.01,entity.n.01,1
of,O,O,1
souvenirs,souvenir.n.01,keepsake.n.01,0
did,O,O,1
buy,buy.v.01,buy.v.01,1
ran,run_into.v.04,run_away.v.01,0
into,O,O,1
in,O,O,1
street,street.n.01,street.n.01,1
restaurant,restaurant.n.01,restaurant.n.01,1
is,O,O,1
empty,empty.a.01,empty.a.01,1
was,O,O,1
n't,O,O,1
flirting,flirt.v.01,flirt.v.01,1
love,love.v.01,love.v.01,1
hot~dogs,hot_dog.n.02,hot_dog.n.02,1
tapped,tap.v.03,tap.v.03,1
on,O,O,1
shoulder,shoulder.n.01,shoulder.n.01,1
ca,O,O,1
n't,O,O,1
afford,afford.v.03,afford.v.01,0
to,O,O,1
buy,buy.v.01,buy.v.01,1
laptop,laptop.n.01,laptop.n.01,1
for,O,O,1
son,son.n.01,son.n.01,1
hate,hate.v.01,hate.v.01,1
is,O,O,1
happy,happy.a.01,happy.a.01,1
now,O,O,1
one,person.n.01,person.n.01,1
's,O,O,1
working,work.v.01,work.v.02,0
's,be.v.01,O,0
nice,nice.a.01,nice.a.01,1
T-shirt,t-shirt.n.01,t-shirt.n.01,1
costs,cost.v.01,cost.v.01,1
euros,euro.n.01,euro.n.01,1
is,be.v.08,O,0
not,O,O,1
good,good.a.08,good.a.01,0
driver,driver.n.01,driver.n.01,1
Everyone,person.n.01,person.n.01,1
was,O,O,1
hungry,hungry.a.01,hungry.a.01,1
and,O,O,1
are,be.v.01,O,0
unbeatable,unbeatable.a.01,unbeatable.s.01,0
team,team.n.01,team.n.01,1
started,start.v.01,start.v.02,0
running,run.v.01,run.v.01,1
am,O,O,1
years,year.n.01,year.n.01,1
old,old.a.01,old.a.01,1
is,O,O,1
unperturbed,unperturbed.a.01,unflurried.s.01,0
bores,bore.v.01,bore.v.01,1
everybody,person.n.01,person.n.01,1
Where,location.n.01,location.n.01,1
did,O,O,1
guys,guy.n.01,guy.n.01,1
meet,meet.v.08,meet.v.02,0
There,O,O,1
are,be.v.03,O,0
more~than,O,O,1
nations,nation.n.01,state.n.04,0
in,O,O,1
world,world.n.04,world.n.04,1
died,die.v.01,die.v.01,1
three,O,O,1
years,year.n.01,year.n.01,1
ago,O,O,1
ship,ship.n.01,ship.n.01,1
left,leave.v.01,leave.v.01,1
Russia,state.n.04,soviet_union.n.01,0
rejected,reject.v.01,reject.v.02,0
demands,demand.n.01,demand.n.01,1
hurt,hurt.v.01,hurt.v.02,0
elbow,elbow.n.01,elbow.n.01,1
There,O,O,1
is,be.v.03,O,0
strange,strange.a.02,strange.a.01,0
man,man.n.01,man.n.01,1
at,O,O,1
door,door.n.01,door.n.01,1
Everyone,person.n.01,person.n.01,1
shook,shake.v.09,shake.v.09,1
hands,hand.n.01,hand.n.01,1
struck,strike.v.01,strike.v.13,0
wall,wall.n.01,wall.n.01,1
with,O,O,1
fist,fist.n.01,fist.n.01,1
smiled,smile.v.01,smile.v.02,0
hate,hate.v.01,hate.v.01,1
was,O,O,1
very,very.r.01,very.r.01,1
proud,proud.a.01,proud.a.01,1
of,O,O,1
's,O,O,1
very,very.r.01,very.r.01,1
knowledgeable,knowledgeable.a.01,knowing.s.04,0
pocketed,pocket.v.01,pocket.v.01,1
money,money.n.01,money.n.01,1
gave,give.v.03,give.v.03,1
does,O,O,1
n't,O,O,1
live,live.v.01,live.v.01,1
in,O,O,1
anymore,O,O,1
casino,casino.n.01,casino.n.01,1
is,O,O,1
losing,lose.v.07,lose.v.01,0
money,money.n.01,money.n.01,1
cat,cat.n.01,cat.n.01,1
sprang,spring.v.01,O,0
at,O,O,1
bird,bird.n.01,bird.n.01,1
felt,feel.v.01,feel.v.03,0
deep,deep.a.05,deep.a.03,0
pain,pain.n.01,pain.n.01,1
went,go.v.01,go.v.01,1
on,O,O,1
foot,foot.n.01,foot.n.01,1
filled,fill.v.01,fill.v.01,1
glasses,glasses.n.03,glasses.n.01,0
with,O,O,1
wine,wine.n.01,wine.n.01,1
man,man.n.01,man.n.01,1
is,O,O,1
playing,play.v.07,play.v.01,0
guitar,guitar.n.01,guitar.n.01,1
've,O,O,1
scolded,scold.v.01,call_on_the_carpet.v.01,0
many,O,O,1
times,time.n.01,time.n.01,1
atomic,atomic.a.02,atomic.a.01,0
tests,test.n.05,trial.n.02,0
at,O,O,1
took,take_place.v.01,take.v.02,0
place,O,O,1
in,O,O,1
owes,owe.v.03,owe.v.03,1
ten,O,O,1
dollars,dollar.n.01,dollar.n.01,1
are,be.v.02,O,0
leftovers,leftovers.n.01,leftovers.n.01,1
from,O,O,1
lunch,lunch.n.01,lunch.n.01,1
studied,study.v.04,study.v.01,0
law,law.n.06,law.n.01,0
at,O,O,1
bowed,bow.v.03,bow.v.03,1
to,O,O,1
teacher,teacher.n.01,teacher.n.01,1
's,O,O,1
by~no~means,O,O,1
lacking,lack.v.01,miss.v.06,0
in,O,O,1
consideration,consideration.n.04,consideration.n.01,0
just,just.r.01,just.r.03,0
shy,shy.a.01,shy.a.01,1
was,O,O,1
brave,brave.a.01,brave.a.01,1
dog,dog.n.01,dog.n.01,1
was,O,O,1
hit,hit.v.02,hit.v.03,0
by,O,O,1
car,car.n.01,car.n.01,1
watch,watch.n.01,watch.n.01,1
is,O,O,1
slow,slow.a.04,slow.a.04,1
does,O,O,1
not,O,O,1
love,love.v.01,love.v.01,1
cheese,cheese.n.01,cheese.n.01,1
committee,committee.n.01,committee.n.01,1
consists,consist.v.04,consist.v.04,1
of,O,O,1
twelve,O,O,1
members,member.n.01,member.n.01,1
feet,foot.n.01,foot.n.02,0
are,O,O,1
cold,cold.a.01,cold.n.01,0
sky,sky.n.01,sky.n.01,1
is,O,O,1
blue,blue.a.01,blue.a.01,1
lives,live.v.01,live.v.01,1
in,O,O,1
slum,slum.n.01,slum.n.01,1
Do,O,O,1
n't,O,O,1
spill,spill.v.05,spill.v.05,1
beans,secret.n.01,bean.n.01,0
'm,O,O,1
interested,interested.a.01,interested.a.01,1
in,O,O,1
music,music.n.01,music.n.01,1
was,be.v.01,O,0
boy,boy.n.01,boy.n.01,1
said,say.v.02,say.v.01,0
impatiently,impatiently.r.01,impatiently.r.01,1
glanced,glance.v.01,glance.v.01,1
towards,O,O,1
Hundreds~of~thousands,O,O,1
of,O,O,1
women,woman.n.01,woman.n.01,1
had,O,O,1
been,O,O,1
raped,rape.v.01,rape.v.01,1
currently,O,O,1
employs,employ.v.02,employ.v.02,1
people,person.n.01,person.n.01,1
How,O,O,1
many,O,O,1
people,person.n.01,person.n.01,1
survived,survive.v.01,survive.v.01,1
concentration~camp,concentration_camp.n.01,O,0
are,O,O,1
brake~pads,brake_pad.n.01,O,0
made,make.v.06,make.v.06,1
of,O,O,1
armed,arm.v.02,armed.a.01,0
with,O,O,1
pistol,pistol.n.01,pistol.n.01,1
bought,buy.v.01,buy.v.01,1
drinks,drink.n.01,drink.v.01,0
lot,O,O,1
of,O,O,1
pens,pen.n.01,pen.n.01,1
's,O,O,1
not,O,O,1
jealous,jealous.a.02,jealous.a.01,0
adores,adore.v.01,adore.v.01,1
is,O,O,1
not,O,O,1
Korean,country.n.02,country.n.02,1
There,O,O,1
